ID,OUTPUT,DURATION,INPUT 1 SYMBOL,INPUT 1 AMOUNT,INPUT 2 SYMBOL,INPUT 2 AMOUNT,YIELD,POWER COST,XP PER OUTPUT,COST SYMBOL,COST AMOUNT,EVENT,PRODUCTION PER DAY,OUTPUT CHANGE,DURATION CHANGE,PRODUCTION CHANGE,INPUT 1 CONSUMPTION PER DAY,INPUT 1 PRODUCTION PER DAY AT SAME VALUE,INPUT 2 CONSUMPTION PER DAY,INPUT 2 PRODUCTION PER DAY AT SAME VALUE,OUTPUT PER BATTERY,XP PER DAY,XP PER BATTERY
COPPER_12,55,6:13:18,SAND,"1,650.00",,,100.00%,"9,969","2,000",COPPER,102,,,5,0:11:25,6.63%,"6,364.80","8,628.00",,,,"424,320.00",11
COPPER_13,60,6:24:12,SAND,"1,800.00",,,100.00%,"10,654","2,000",STEEL,25,,,5,0:10:54,6%,"6,746.40","8,904.00",,,,"449,760.00",11
COPPER_14,65,6:35:08,SAND,"1,950.00",,,100.00%,"11,315","2,000",STEEL,30,,,5,0:10:56,5.34%,"7,106.40","9,174.00",,,,"473,760.00",11
COPPER_15,70,6:45:48,SAND,"2,100.00",,,100.00%,"11,954","2,000",STEEL,36,,,5,0:10:40,4.86%,"7,452.00","9,438.00",,,,"496,800.00",12
COPPER_16,75,6:56:17,SAND,"2,250.00",,,100.00%,"12,573","2,000",STEEL,42,,,5,0:10:29,4.44%,"7,783.20","9,696.00",,,,"518,880.00",12
COPPER_17,79,7:01:20,SAND,"2,370.00",,,100.00%,"13,008","2,000",STEEL,50,,,4,0:05:03,4.07%,"8,100.00","9,948.00",,,,"540,000.00",12
COPPER_18,83,7:06:44,SAND,"2,490.00",,,100.00%,"13,430","2,000",STEEL,59,,,4,0:05:24,3.73%,"8,402.40","10,194.00",,,,"560,160.00",12
COPPER_19,87,7:12:29,SAND,"2,610.00",,,100.00%,"13,840","2,000",STEEL,70,,,4,0:05:45,3.43%,"8,690.40","10,434.00",,,,"579,360.00",13
COPPER_20,91,7:18:12,SAND,"2,730.00",,,100.00%,"14,239","2,000",STEEL,82,,,4,0:05:44,3.23%,"8,971.20","10,668.00",,,,"598,080.00",13
COPPER_21,95,7:23:56,SAND,"2,850.00",,,100.00%,"14,626","2,000",STEEL,95,,,4,0:05:43,3.05%,"9,244.80","10,896.00",,,,"616,320.00",13
COPPER_22,99,7:29:40,SAND,"2,970.00",,,100.00%,"15,003","2,000",SCREWS,37,,,4,0:05:44,2.88%,"9,511.20","10,896.00",,,,"634,080.00",13
COPPER_23,103,7:35:25,SAND,"3,090.00",,,100.00%,"15,370","2,000",SCREWS,43,,,4,0:05:45,2.73%,"9,770.40","11,118.00",,,,"651,360.00",13
COPPER_24,107,7:41:12,SAND,"3,210.00",,,100.00%,"15,727","2,000",SCREWS,50,,,4,0:05:47,2.58%,"10,022.40","11,334.00",,,,"668,160.00",14
COPPER_25,111,7:46:43,SAND,"3,330.00",,,100.00%,"16,075","2,000",SCREWS,59,,,4,0:05:30,2.51%,"10,274.40","11,544.00",,,,"684,960.00",14
COPPER_26,115,7:52:17,SAND,"3,450.00",,,100.00%,"16,414","2,000",SCREWS,68,,,4,0:05:34,2.38%,"10,519.20","11,748.00",,,,"701,280.00",14
COPPER_27,118,7:53:35,SAND,"3,540.00",,,100.00%,"16,604","2,000",SCREWS,79,,,3,0:01:18,2.33%,"10,764.00","11,946.00",,,,"717,600.00",14
